trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2583,False,"{'a': 0.1, 'e': 0.07554702265307348}",20,7,8.998063594591187,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2584,False,"{'a': 0.1, 'e': 0.07547151339134371}",25,11,25.542420930987443,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2585,False,"{'a': 0.1, 'e': 0.07539607960113362}",25,18,13.271342079144095,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2586,False,"{'a': 0.1, 'e': 0.07532072120700942}",25,18,13.925333548216395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2587,False,"{'a': 0.1, 'e': 0.0752454381336127}",20,15,9.04297053644538,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2588,False,"{'a': 0.1, 'e': 0.07517023030566039}",30,16,26.779504609056545,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2589,False,"{'a': 0.1, 'e': 0.07509509764794464}",20,6,7.393200199970435,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2590,False,"{'a': 0.1, 'e': 0.0750200400853328}",30,22,16.887026154127852,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2591,False,"{'a': 0.1, 'e': 0.0749450575427673}",30,13,34.181711424088796,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2592,False,"{'a': 0.1, 'e': 0.07487014994526558}",20,14,12.188661317807341,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2593,False,"{'a': 0.1, 'e': 0.07479531721792006}",20,8,23.213162297384397,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2594,False,"{'a': 0.1, 'e': 0.07472055928589798}",20,12,12.972373548787631,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2595,False,"{'a': 0.1, 'e': 0.07464587607444141}",20,5,27.798409651655547,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2596,False,"{'a': 0.1, 'e': 0.07457126750886714}",25,8,17.257237120081143,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
